Past,EVT,ACRES
Past Conifer,Agricultural,45303
Past Conifer,Conifer,329810
Past Conifer,Conifer-Hardwood,48782
Past Conifer,Developed,82181
Past Conifer,Exotics,32323
Past Conifer,Grassland,260
Past Conifer,Hardwood,238888
Past Conifer,Riparian,86206
Past Conifer,Shrubland,2
Past Grassland,Agricultural,1
Past Grassland,Conifer,38
Past Grassland,Conifer-Hardwood,1
Past Grassland,Developed,26
Past Grassland,Exotics,1
Past Grassland,Hardwood,16
Past Grassland,Riparian,22
Past Hardwood,Agricultural,147806
Past Hardwood,Conifer,140372
Past Hardwood,Conifer-Hardwood,66011
Past Hardwood,Developed,113058
Past Hardwood,Exotics,34219
Past Hardwood,Grassland,84
Past Hardwood,Hardwood,1183678
Past Hardwood,Riparian,53740
Past Hardwood,Shrubland,76
Past Hardwood-Conifer,Agricultural,34422
Past Hardwood-Conifer,Conifer,214827
Past Hardwood-Conifer,Conifer-Hardwood,61567
Past Hardwood-Conifer,Developed,70994
Past Hardwood-Conifer,Exotics,18594
Past Hardwood-Conifer,Grassland,79
Past Hardwood-Conifer,Hardwood,280087
Past Hardwood-Conifer,Riparian,52994
Past Hardwood-Conifer,Shrubland,137
Past Riparian,Agricultural,13808
Past Riparian,Conifer,171267
Past Riparian,Conifer-Hardwood,6901
Past Riparian,Developed,29172
Past Riparian,Exotics,15608
Past Riparian,Grassland,29
Past Riparian,Hardwood,133715
Past Riparian,Riparian,1794850
Past Riparian,Shrubland,4
